id|name|thumb_image|main_image|is_performer
362878|Paul Carr|||1
808892|David Newton (3)|https://i.discogs.com/0PRmq2mv074Jn-b_EePLJFY0UWaJWeFfhqW_W3Q8SjI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTgwODg5/Mi0xNTk5NDc4NjM3/LTU3OTAuanBlZw.jpeg|https://i.discogs.com/evl5EqNIJmKiNCCAoCKOu63QQELuhUgLw0e48JCPLsE/rs:fit/g:sm/q:90/h:300/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTgwODg5/Mi0xNTk5NDc4NjM3/LTU3OTAuanBlZw.jpeg|1
1400430|Christopher Jenkins|||1
327296|Simon Morton|||1
53001|Steve Sidelnyk|https://i.discogs.com/Eu3aEz_fEuGcT3-RVx_5s1L2xr9oRU0K8A6QUezAlCQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTUzMDAx/LTE2MTI5MDMzMzUt/NTIyMC5qcGVn.jpeg|https://i.discogs.com/DtsKQRSGSKw1RheI3UABs-mjHo1T9X2UAGkkpyBHuEg/rs:fit/g:sm/q:90/h:397/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTUzMDAx/LTE2MTI5MDMzMzUt/NTIyMC5qcGVn.jpeg|1
26453|The Jazz Renegades|https://i.discogs.com/cnSxIcqEMPmdnlKpgwXoIwNpM788D5Y7QPOuxBASrp4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2NDUz/LTE0NDk3NDc4NTMt/NDk3MS5qcGVn.jpeg|https://i.discogs.com/51CpRC7kZGIhtpmEGv4cx2Yds20OxxSy034uAmA4RwQ/rs:fit/g:sm/q:90/h:564/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2NDUz/LTE0NDk3NDc4NTMt/NDk3MS5qcGVn.jpeg|0
338116|Alan Barnes|https://i.discogs.com/kA1uyieOO8DKzePRB-IHVxZqAw3R86ObMeJwVLZeE0Q/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTMzODEx/Ni0xNTAxMTMxODIx/LTg2MDkuanBlZw.jpeg|https://i.discogs.com/J2j7ZRp8LfzrF6GeCfYdXrcxG4H7T6iGahj4z0qn0Js/rs:fit/g:sm/q:90/h:992/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTMzODEx/Ni0xNTAxMTMxODIx/LTg2MDkuanBlZw.jpeg|1
1553361|Julie-Ann Jones|||0
362877|Paul Lacey|||1
1915387|John Hermansader|||0
463696|Elmo Hope|https://i.discogs.com/3PHwlGcB6VtuGgsQMAY1oliEU_3zCL89ZYLCE2h7Jfk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTQ2MzY5/Ni0xMTk1ODUyODQ3/LmpwZWc.jpeg|https://i.discogs.com/l32iYgrrAYMhC_ApEUuO9LIvGYeMM_OnCqN_3i-jjqY/rs:fit/g:sm/q:90/h:215/w:180/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTQ2MzY5/Ni0xMTk1ODUyODQ3/LmpwZWc.jpeg|1
262160|George Duvivier|https://i.discogs.com/MYgMUos8iVLqNWIif_2bReCA92ExqQikc6U0QH4srOs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2MjE2/MC0xNjAyMjQ5NTI3/LTk2NDEucG5n.jpeg|https://i.discogs.com/-lBpNfm_lxwO222e9pOnetrLrIAE-VER5F7G4Cv183E/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2MjE2/MC0xNjAyMjQ5NTI3/LTk2NDEucG5n.jpeg|1
2476102|Rolf Becker (6)|||0
274396|Leroy Williams|https://i.discogs.com/EavpOedYjlHRRQpoQvwZCeAMD5bbc_F6Ddc6wBoVNvo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI3NDM5/Ni0xMTE1Nzg0MjM3/LmpwZw.jpeg|https://i.discogs.com/m3fyO9xrOPS1VlzIrWNDBL4kFbV6OXmdE24iAMqdWVY/rs:fit/g:sm/q:90/h:171/w:245/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI3NDM5/Ni0xMTE1Nzg0MjM3/LmpwZw.jpeg|1
1753686|Mark Gardner (2)|||0
1211627|Jack Fallon|https://i.discogs.com/OIKC9L5Utyn2wpwF-tTMjz8hW2rIuyegqU0jwU-H4rI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyMTE2/MjctMTM0NTQwNzA0/NS01OTc1LmpwZWc.jpeg|https://i.discogs.com/ye2nUFj1-pC0xHG8DvGhVqDCg39yg9IgIcXsANCQrAY/rs:fit/g:sm/q:90/h:186/w:248/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyMTE2/MjctMTM0NTQwNzA0/NS01OTc1LmpwZWc.jpeg|1
3973593|Norman Burns (2)|||1
59407|George Shearing|https://i.discogs.com/Y8kAgD8Muc4KhDibKanKdIpo1JQzKLGww2JGzcWViXE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTU5NDA3/LTExMTQ1ODQ1MjMu/anBn.jpeg|https://i.discogs.com/h00xR1qOajTr06Fd1R_RdSG26SCFyB47r0Eh-U1Zh-k/rs:fit/g:sm/q:90/h:200/w:176/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTU5NDA3/LTExMTQ1ODQ1MjMu/anBn.jpeg|1
323953|Ulf Wakenius|https://i.discogs.com/vB08uJciejG9HKMuDLxbUISHijrS-6OJNniafE8hfNQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTMyMzk1/My0xNTIzMzAxMjkz/LTk0ODUuanBlZw.jpeg|https://i.discogs.com/WlX4lbgdgt7K2kTCCketnZI5j6F1-2WNJXDJlkiSplU/rs:fit/g:sm/q:90/h:900/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTMyMzk1/My0xNTIzMzAxMjkz/LTk0ODUuanBlZw.jpeg|1
729817|Jakob Tranberg|||0
285231|Niels-Henning Ørsted Pedersen|https://i.discogs.com/ko3h-zT6Y_6hZsTsLMTcmJxPF4ic5Ox6bvwZgqURc3E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI4NTIz/MS0xMzM5MDcxNDk4/LTI3NDEuanBlZw.jpeg|https://i.discogs.com/XiSW61wGt-ZfrrLQs50p3PUiiBrpbh-4nLnLm5-hvCI/rs:fit/g:sm/q:90/h:396/w:594/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI4NTIz/MS0xMzM5MDcxNDk4/LTI3NDEuanBlZw.jpeg|1
9591685|Anders Hansen (7)|||0
