id_min|id_max|masters
259092|358833|273390
259092|524237|273390
252310|259092|273390
259092|547173|273390
259089|259092|273390
259074|358833|273390
259074|524237|273390
252310|259074|273390
259074|547173|273390
259074|259089|273390
358833|524237|273390
252310|358833|273390
358833|547173|273390
259089|358833|273390
252310|524237|273390
524237|547173|273390
259089|524237|273390
252310|547173|273390
252310|259089|273390
259089|547173|273390
194757|388491|602727
79342|194757|602727
194757|326032|602727
120623|194757|602727
14048|194757|602727
194757|849328|602727
64694|194757|602727
194757|1397656|602727
79342|388491|602727
326032|388491|602727
120623|388491|602727
14048|388491|602727
388491|849328|602727
64694|388491|602727
388491|1397656|602727
79342|326032|602727
79342|120623|602727
14048|79342|602727
79342|849328|602727
64694|79342|602727
79342|1397656|602727
120623|326032|602727
14048|326032|602727
326032|849328|602727
64694|326032|602727
326032|1397656|602727
14048|120623|602727
120623|849328|602727
64694|120623|602727
120623|1397656|602727
14048|849328|602727
14048|64694|602727
14048|1397656|602727
64694|849328|602727
849328|1397656|602727
64694|1397656|602727
252821|272667|484380
252821|253443|484380
253443|272667|484380
255767|257251|700916
135885|255767|700916
253443|255767|700916
255767|323587|700916
255767|312519|700916
135885|257251|700916
253443|257251|700916
257251|323587|700916
257251|312519|700916
135885|253443|700916
135885|323587|700916
135885|312519|700916
253443|323587|700916
253443|312519|700916
312519|323587|700916,870855
327033|372755|544618
327033|332585|544618
251776|327033|544618
263795|327033|544618
229498|327033|544618
327033|372362|544618
29992|327033|544618
265629|327033|544618
267675|327033|544618
145264|327033|544618
251778|327033|544618
332585|372755|544618
251776|372755|544618
263795|372755|544618
229498|372755|544618
372362|372755|544618
29992|372755|544618
265629|372755|544618
267675|372755|544618
145264|372755|544618
251778|372755|544618
251776|332585|544618
263795|332585|544618
229498|332585|544618
332585|372362|544618
29992|332585|544618
265629|332585|544618
267675|332585|544618
145264|332585|544618
251778|332585|544618
251776|263795|544618
229498|251776|544618
251776|372362|544618
29992|251776|544618
251776|265629|544618
251776|267675|544618
145264|251776|544618
251776|251778|544618
229498|263795|544618
263795|372362|544618
29992|263795|544618
263795|265629|544618
263795|267675|544618
145264|263795|544618
251778|263795|544618
229498|372362|544618
29992|229498|544618,781206
229498|265629|544618
229498|267675|544618
145264|229498|544618,781206
229498|251778|544618
29992|372362|544618
267675|372362|544618
145264|372362|544618
29992|265629|544618
29992|267675|544618
29992|145264|544618,781206
29992|251778|544618
265629|267675|544618
145264|265629|544618
145264|267675|544618
251778|267675|544618
145264|251778|544618
327033|888685|313571
261974|327033|313571,932852
327033|821722|313571
327033|636002|313571
327033|888684|313571
272016|327033|313571,932852
327033|480264|313571
255109|327033|313571
261974|888685|313571
821722|888685|313571
636002|888685|313571
888684|888685|313571
272016|888685|313571
480264|888685|313571
255109|888685|313571
261974|821722|313571
261974|636002|313571
261974|888684|313571
261974|272016|313571,932852
261974|480264|313571
255109|261974|313571
636002|821722|313571
821722|888684|313571
272016|821722|313571
480264|821722|313571
255109|821722|313571
636002|888684|313571
272016|636002|313571
480264|636002|313571
255109|636002|313571
272016|888684|313571
480264|888684|313571
255109|888684|313571
272016|480264|313571
255109|272016|313571
255109|480264|313571
252998|361530|736755
252998|3012275|736755
252998|373784|736755
168453|252998|736755
251778|252998|736755
252993|252998|736755
217242|252998|736755
252998|255752|736755
361530|3012275|736755
361530|373784|736755
168453|361530|736755
251778|361530|736755
252993|361530|736755
217242|361530|736755
255752|361530|736755
373784|3012275|736755
168453|3012275|736755
251778|3012275|736755
252993|3012275|736755
217242|3012275|736755
255752|3012275|736755
168453|373784|736755
251778|373784|736755
252993|373784|736755
217242|373784|736755
255752|373784|736755
168453|251778|736755
168453|252993|736755
168453|217242|736755
168453|255752|736755
251778|252993|736755
217242|251778|736755
251778|255752|736755
217242|252993|736755
252993|255752|736755
217242|255752|736755
229498|264868|543225
253367|264868|543225
264868|264871|543225
264868|271897|543225
229498|253367|543225
229498|264871|543225
229498|271897|543225
253367|264871|543225
253367|271897|543225
264871|271897|543225
272679|358781|393939
29984|272679|393939
272679|1515566|393939
29984|358781|393939
358781|1515566|393939
29984|1515566|393939
252998|272679|377768
252998|824909|377768
272679|824909|377768
267719|271155|239686
135873|267719|239686
264872|267719|239686
251778|267719|239686
156019|267719|239686
149254|267719|239686
135873|271155|239686
264872|271155|239686
251778|271155|239686
156019|271155|239686
149254|271155|239686
135873|251778|239686
135873|156019|239686
135873|149254|239686
251778|264872|239686
156019|264872|239686
149254|264872|239686
156019|251778|239686
149254|251778|239686
149254|156019|239686
272679|357714|537812
296954|357714|537812
263796|357714|537812
258469|357714|537812
272679|296954|537812
263796|272679|537812
258469|272679|537812
263796|296954|537812
258469|296954|537812
258469|263796|537812
4099|30184|479954
4099|96441|479954
4099|328233|479954
30184|96441|479954
30184|328233|479954
96441|328233|479954
